Timestamp,"¿Puerto Rico, EE.UU. u otro?",Area especializada de programación,¿En que estado labora actualmente?,¿En que pueblo labora actualmente?,¿Freelancer o empleado?,Trabaja usted...,Paga Anual,Beneficios,¿Recibes compensación basada en el desempeño de la compañia?,¿Recibes bono por desempeño?,Desarrollo de Software,Desarrollador de Aplicaciones,Desarrollo Web,Servicios Técnicos / Help Desk / Support,Seguridad,Consultaría e Integración de Sistemas,Administrador de Bases de Datos,Quality Assurance y Testing,Networking / Telecomunicaciones,Administración,Other...
1/18/2017 9:57:21,Puerto Rico,Front-end,,San Juan,Empleado,Oficina,15 - 25k,,No,No,,,Front-End Web Developer,,,,,,,,
1/18/2017 10:04:50,Puerto Rico,Las primeras dos,,San Juan,Los dos,Oficina / Remoto,35 - 50k,"Plan Dental, Plan Médico, Gym",Stocks,Si,Software Developer,Applications Architect,Web Developer,Systems Administrator,Network Security Administrator,Project Manager/Senior Consultant,Database Administrator,QA/Testing Manager,Network Engineer,Director of Technology,
1/18/2017 10:10:35,Puerto Rico,Back-end,,San Juan,Empleado,On-site (localidad del cliente),25 - 35k,,No,No,Software Developer,Developer/Programmer Analyst,,,,,Database Developer,,,,
1/18/2017 10:18:44,Puerto Rico,Back-end,,Ponce,Empleado,Remoto,35 - 50k,"Plan Dental, Plan Médico",No,Si,Software Developer,Developer/Programmer Analyst,Web Developer,Desktop Support Analyst,Systems Security Administrator,Project Manager/Senior Consultant,Database Administrator,QA/Testing Manager,Network Administrator,Chief Information Officer (CIO),
1/18/2017 10:21:50,Puerto Rico,Todas,,Guaynabo,Empleado,Oficina / Remoto,35 - 50k,"Plan Médico, Plan de retiro",No,Si,Software Engineer,,Senior Web Developer,,,,,,,,
1/18/2017 10:22:08,Puerto Rico,Las primeras dos,,Guaynabo,Empleado,Oficina,35 - 50k,"Plan Dental, Plan Médico, Plan de retiro",No,Si,Software Developer,Developer/Programmer Analyst,Web Developer,,,,,,,,
1/18/2017 10:23:13,Puerto Rico,Front-end,,Isabela,Empleado,Oficina,25 - 35k,"Plan Dental, Plan Médico",No,No,,,,,,Staff Consultant,,,,,
1/18/2017 10:52:18,EE.UU.,Manager,District of Columbia,,Empleado,Oficina,120 - 160k,"Plan Dental, Plan Médico, Gym, Plan de retiro",No,No,Product Manager,Project Manager,Web Developer,Manager,,,,,,Information Technology Manager,
1/18/2017 10:56:28,EE.UU.,Todas,Virginia,,Empleado,Oficina / Remoto,120 - 160k,"Plan Dental, Plan Médico, Gym, Equipo Ergonómico, Plan de retiro",Stocks,Si,Software Engineer,,,,,Project Manager/Senior Consultant,,,,,
1/18/2017 10:59:32,Puerto Rico,Front-end,,San Sebastián,Freelancer,Remoto,<10k,,No,No,,,Front-End Web Developer,,,,,,,,
1/18/2017 11:03:19,EE.UU.,Todas,Massachusetts,,Partner en la compañia,Remoto,120 - 160k,"Plan Dental, Plan Médico, Equipo Ergonómico, Lunch budget",Stocks,Si,Software Developer,,,,,,,,,,Head of Engineering
1/18/2017 11:03:31,Puerto Rico,Todas,,San Juan,Empleado,Oficina,35 - 50k,Plan Médico,No,No,Software Developer,Mobile Applications Developer,Web Developer,,,,,,,,
1/18/2017 11:15:55,Puerto Rico,Las primeras dos,,San Juan,Empleado,Remoto,65 - 90k,Plan Médico,Stocks,No,Software Engineer,Lead Applications Developer,Senior Web Developer,,,,,,,Director of Technology,
1/18/2017 11:16:04,Puerto Rico,Front-end,,Toa Alta,Independent Contractor,Remoto,65 - 90k,"Plan Médico, Unlimited Vacation",No,No,Software Engineer,,Front-End Web Developer,,,,,,,,
1/18/2017 11:17:59,Puerto Rico,Todas,,Ponce,Empleado,On-site (localidad del cliente),<10k,,No,No,Software Developer,Lead Applications Developer,Senior Web Developer,,,,,,,,
1/18/2017 11:20:21,Puerto Rico,Las primeras dos,,Trujillo Alto,Empleado,Remoto,50 - 65k,,No,No,Software Engineer,,,,,,,,,,
1/18/2017 11:22:39,Puerto Rico,Las primeras dos,,San Juan,Empleado,Oficina / Remoto,35 - 50k,"Plan Dental, Plan Médico, Plan de retiro",No,Si,Software Developer,,Web Developer,,,,,,,,
1/18/2017 11:30:28,Puerto Rico,Back-end,,Carolina,Freelancer,Remoto,50 - 65k,,No,No,Software Engineer,Developer/Programmer Analyst,Senior Web Developer,,,,,,,,
1/18/2017 11:40:56,Puerto Rico,Todas,,San Juan,Empleado,Oficina / Remoto,65 - 90k,"Plan Médico, Equipo Ergonómico, Plan de retiro",No,Si,Software Engineer,,,,,,,,,,
1/18/2017 11:59:53,Digital Nomad,Las primeras dos,,,Freelance y Contratista,Remoto,65 - 90k,,Bono de Navidad $150 por cada mes trabajado con la compañia,No,Software Developer,Developer/Programmer Analyst,Front-End Web Developer,,,,,,,,
1/18/2017 12:04:41,Puerto Rico,Front-end,,San Juan,Freelancer,Oficina / Remoto,15 - 25k,,No,No,,,Web Developer,,,,,,,,
1/18/2017 12:07:25,Puerto Rico,Front-end,,San Juan,Empleado,Oficina / Remoto,25 - 35k,,No,No,Software Developer,,Front-End Web Developer,,,,,,,,
1/18/2017 12:20:55,Puerto Rico,Todas,,Ponce,Empleado,Oficina,15 - 25k,"Plan Dental, Plan Médico, Plan de retiro",No,No,Software Developer,Developer/Programmer Analyst,,,,Staff Consultant,Database Developer,,,,
1/18/2017 12:21:05,Puerto Rico,Todas,,Bayamón,Freelancer,Todos,35 - 50k,Plan Médico,No,No,Software Developer,Systems Analyst,Senior Web Developer,Manager,,,,,,,En realidad se hace de todo un poco.
